hgnc_id	symbol	locus_group	locus_type	entrez_id
HGNC:5	A1BG	protein-coding gene	gene with protein product	1
HGNC:37133	A1BG-AS1	non-coding RNA	RNA, long non-coding	503538
HGNC:24086	A1CF	protein-coding gene	gene with protein product	29974
HGNC:7	A2M	protein-coding gene	gene with protein product	2
HGNC:27057	A2M-AS1	non-coding RNA	RNA, long non-coding	144571
HGNC:23336	A2ML1	protein-coding gene	gene with protein product	144568
HGNC:41022	A2ML1-AS1	non-coding RNA	RNA, long non-coding	100874108
HGNC:41523	A2ML1-AS2	non-coding RNA	RNA, long non-coding	106478979
HGNC:8	A2MP1	pseudogene	pseudogene	3
HGNC:30005	A3GALT2	protein-coding gene	gene with protein product	127550
HGNC:18149	A4GALT	protein-coding gene	gene with protein product	53947
HGNC:17968	A4GNT	protein-coding gene	gene with protein product	51146
HGNC:13666	AAAS	protein-coding gene	gene with protein product	8086
HGNC:21298	AACS	protein-coding gene	gene with protein product	65985
HGNC:18226	AACSP1	pseudogene	pseudogene	729522
HGNC:17	AADAC	protein-coding gene	gene with protein product	13
HGNC:24427	AADACL2	protein-coding gene	gene with protein product	344752
HGNC:50301	AADACL2-AS1	non-coding RNA	RNA, long non-coding	101928142
HGNC:32037	AADACL3	protein-coding gene	gene with protein product	126767
HGNC:32038	AADACL4	protein-coding gene	gene with protein product	343066
HGNC:50305	AADACP1	pseudogene	pseudogene	201651
HGNC:17929	AADAT	protein-coding gene	gene with protein product	51166
HGNC:25662	AAGAB	protein-coding gene	gene with protein product	79719
HGNC:19679	AAK1	protein-coding gene	gene with protein product	22848
HGNC:30205	AAMDC	protein-coding gene	gene with protein product	28971
HGNC:18	AAMP	protein-coding gene	gene with protein product	14
HGNC:19	AANAT	protein-coding gene	gene with protein product	15
HGNC:15886	AAR2	protein-coding gene	gene with protein product	25980
HGNC:33842	AARD	protein-coding gene	gene with protein product	441376
HGNC:20	AARS1	protein-coding gene	gene with protein product	16
HGNC:49894	AARS1P1	pseudogene	pseudogene	106480683
HGNC:21022	AARS2	protein-coding gene	gene with protein product	57505
HGNC:28417	AARSD1	protein-coding gene	gene with protein product	80755
HGNC:54994	AARSD1P1	pseudogene	pseudogene	117981788
HGNC:23993	AASDH	protein-coding gene	gene with protein product	132949
HGNC:14235	AASDHPPT	protein-coding gene	gene with protein product	60496
HGNC:17366	AASS	protein-coding gene	gene with protein product	10157
HGNC:51526	AATBC	non-coding RNA	RNA, long non-coding	284837
HGNC:19235	AATF	protein-coding gene	gene with protein product	26574
HGNC:21	AATK	protein-coding gene	gene with protein product	9625
HGNC:22	AAVS1	other	virus integration site	17
HGNC:49667	ABALON	non-coding RNA	RNA, long non-coding	103021294
HGNC:23	ABAT	protein-coding gene	gene with protein product	18
HGNC:29	ABCA1	protein-coding gene	gene with protein product	19
HGNC:32	ABCA2	protein-coding gene	gene with protein product	20
HGNC:33	ABCA3	protein-coding gene	gene with protein product	21
HGNC:34	ABCA4	protein-coding gene	gene with protein product	24
HGNC:35	ABCA5	protein-coding gene	gene with protein product	23461
HGNC:36	ABCA6	protein-coding gene	gene with protein product	23460
HGNC:37	ABCA7	protein-coding gene	gene with protein product	10347
HGNC:38	ABCA8	protein-coding gene	gene with protein product	10351
HGNC:39	ABCA9	protein-coding gene	gene with protein product	10350
HGNC:39983	ABCA9-AS1	non-coding RNA	RNA, long non-coding	104355297
HGNC:30	ABCA10	protein-coding gene	gene with protein product	10349
HGNC:31	ABCA11P	pseudogene	pseudogene	79963
HGNC:14637	ABCA12	protein-coding gene	gene with protein product	26154
HGNC:14638	ABCA13	protein-coding gene	gene with protein product	154664
HGNC:32972	ABCA17P	pseudogene	pseudogene	650655
HGNC:40	ABCB1	protein-coding gene	gene with protein product	5243
HGNC:45	ABCB4	protein-coding gene	gene with protein product	5244
HGNC:46	ABCB5	protein-coding gene	gene with protein product	340273
HGNC:47	ABCB6	protein-coding gene	gene with protein product	10058
HGNC:48	ABCB7	protein-coding gene	gene with protein product	22
HGNC:49	ABCB8	protein-coding gene	gene with protein product	11194
HGNC:50	ABCB9	protein-coding gene	gene with protein product	23457
HGNC:41	ABCB10	protein-coding gene	gene with protein product	23456
HGNC:14114	ABCB10P1	pseudogene	pseudogene	56476
HGNC:31129	ABCB10P3	pseudogene	pseudogene	728248
HGNC:31130	ABCB10P4	pseudogene	pseudogene	100132289
HGNC:42	ABCB11	protein-coding gene	gene with protein product	8647
HGNC:51	ABCC1	protein-coding gene	gene with protein product	4363
HGNC:53	ABCC2	protein-coding gene	gene with protein product	1244
HGNC:54	ABCC3	protein-coding gene	gene with protein product	8714
HGNC:55	ABCC4	protein-coding gene	gene with protein product	10257
HGNC:56	ABCC5	protein-coding gene	gene with protein product	10057
HGNC:40055	ABCC5-AS1	non-coding RNA	RNA, long non-coding	100873982
HGNC:57	ABCC6	protein-coding gene	gene with protein product	368
HGNC:33352	ABCC6P1	pseudogene	pseudogene	653190
HGNC:33353	ABCC6P2	pseudogene	pseudogene	730013
HGNC:59	ABCC8	protein-coding gene	gene with protein product	6833
HGNC:60	ABCC9	protein-coding gene	gene with protein product	10060
HGNC:52	ABCC10	protein-coding gene	gene with protein product	89845
HGNC:14639	ABCC11	protein-coding gene	gene with protein product	85320
HGNC:14640	ABCC12	protein-coding gene	gene with protein product	94160
HGNC:16022	ABCC13	pseudogene	pseudogene	150000
HGNC:61	ABCD1	protein-coding gene	gene with protein product	215
HGNC:62	ABCD1P1	pseudogene	pseudogene	23785
HGNC:63	ABCD1P2	pseudogene	pseudogene	26983
HGNC:64	ABCD1P3	pseudogene	pseudogene	26982
HGNC:65	ABCD1P4	pseudogene	pseudogene	26957
HGNC:42662	ABCD1P5	pseudogene	pseudogene	642762
HGNC:66	ABCD2	protein-coding gene	gene with protein product	225
HGNC:67	ABCD3	protein-coding gene	gene with protein product	5825
HGNC:68	ABCD4	protein-coding gene	gene with protein product	5826
HGNC:69	ABCE1	protein-coding gene	gene with protein product	6059
HGNC:70	ABCF1	protein-coding gene	gene with protein product	23
HGNC:53628	ABCF1-DT	non-coding RNA	RNA, long non-coding	107986587
HGNC:71	ABCF2	protein-coding gene	gene with protein product	10061
HGNC:54751	ABCF2-H2BE1	other	readthrough	114483834
HGNC:48841	ABCF2P1	pseudogene	pseudogene	344653
HGNC:48842	ABCF2P2	pseudogene	pseudogene	100422059
HGNC:72	ABCF3	protein-coding gene	gene with protein product	55324
HGNC:73	ABCG1	protein-coding gene	gene with protein product	9619
HGNC:74	ABCG2	protein-coding gene	gene with protein product	9429
HGNC:13884	ABCG4	protein-coding gene	gene with protein product	64137
HGNC:13886	ABCG5	protein-coding gene	gene with protein product	64240
HGNC:13887	ABCG8	protein-coding gene	gene with protein product	64241
HGNC:17553	ABHD1	protein-coding gene	gene with protein product	84696
HGNC:18717	ABHD2	protein-coding gene	gene with protein product	11057
HGNC:18718	ABHD3	protein-coding gene	gene with protein product	171586
HGNC:20154	ABHD4	protein-coding gene	gene with protein product	63874
HGNC:21396	ABHD5	protein-coding gene	gene with protein product	51099
HGNC:21398	ABHD6	protein-coding gene	gene with protein product	57406
HGNC:23759	ABHD8	protein-coding gene	gene with protein product	79575
HGNC:25656	ABHD10	protein-coding gene	gene with protein product	55347
HGNC:16407	ABHD11	protein-coding gene	gene with protein product	83451
HGNC:18289	ABHD11-AS1	non-coding RNA	RNA, long non-coding	171022
HGNC:15868	ABHD12	protein-coding gene	gene with protein product	26090
HGNC:19837	ABHD12B	protein-coding gene	gene with protein product	145447
HGNC:20293	ABHD13	protein-coding gene	gene with protein product	84945
HGNC:24538	ABHD14A	protein-coding gene	gene with protein product	25864
HGNC:38856	ABHD14A-ACY1	other	readthrough	100526760
HGNC:28235	ABHD14B	protein-coding gene	gene with protein product	84836
HGNC:26971	ABHD15	protein-coding gene	gene with protein product	116236
HGNC:49685	ABHD15-AS1	non-coding RNA	RNA, long non-coding	104355133
