hugo_gene_symbol	type	entrez_id
IGLV@	other	3546
LINC00417	ncRNA	100874164
MMVP1	unknown	50951
EXT3	unknown	2133
HPLH1	unknown	27259
NCRNA00250	ncRNA	552853
IGKV@	other	3519
TRMEP1	pseudogene	7211
SNORD116@	other	692236
TRNAL47P	pseudogene	7209
WBSCR23	ncRNA	107986810
RIEG2	unknown	6012
CYP3A	other	1574
LINC00283	ncRNA	100874057
NPCDR1	ncRNA	246734
ARID4B-IT1	ncRNA	100874336
PRAMEF16	protein-coding	654348
CRIPAK	protein-coding	285464
DGCR7	ncRNA	266621
FAM231BP	protein-coding	100133301
FAM231AP	protein-coding	729574
SPHAR	protein-coding	10638
RNA5SP398	pseudogene	100873651
RNA5SP32	pseudogene	100873364
RNA5SP81	pseudogene	100873315
PRIM2B	pseudogene	100996481
FAM231C	protein-coding	729587
LINC00849	ncRNA	100996629
LINC01073	ncRNA	107080623
MAGI2-IT1	unknown	266671
ZNF638-IT1	unknown	100507113
OCLM	protein-coding	10896
TRIM78P	pseudogene	117852
GVQW1	protein-coding	101362076
LINC00614	ncRNA	645587
ERCC6-PGBD3	protein-coding	101243544
FBXO22-AS1	ncRNA	692224
HPVC1	ncRNA	3262
GAGE3	protein-coding	2575
LOC653513	protein-coding	653513
LOC93429	protein-coding	93429
LOC105369147	protein-coding	105369147
LOC105378146	protein-coding	105378146
LOC105377782	protein-coding	105377782
LOC105376486	protein-coding	105376486
LOC105370361	protein-coding	105370361
LOC100287846	protein-coding	100287846
LOC647264	protein-coding	647264
LOC101928436	protein-coding	101928436
LOC643802	protein-coding	643802
FLJ45513	protein-coding	729220
LOC100506422	protein-coding	100506422
LOC100134391	protein-coding	100134391
TNFAIP8L2-SCNM1	protein-coding	100534012
LOC100130370	protein-coding	100130370
ZASP	protein-coding	101927655
ZNF664-RFLNA	protein-coding	100533183
LOC101927572	protein-coding	101927572
LOC388813	protein-coding	388813
LOC730183	protein-coding	730183
HGC6.3	protein-coding	100128124
MAGEA10-MAGEA5	protein-coding	100533997
FLJ44635	protein-coding	392490
THEG5	protein-coding	100507527
LOC100287036	protein-coding	100287036
LOC728392	protein-coding	728392
TARP	protein-coding	445347
LOC391322	protein-coding	391322
LOC441155	protein-coding	441155
LOC100505549	protein-coding	100505549
LOC388282	protein-coding	388282
LOC389895	protein-coding	389895
LOC100289561	protein-coding	100289561
LOC101929372	protein-coding	101929372
LOC283710	protein-coding	283710
PHOSPHO2-KLHL23	protein-coding	100526832
LOC100505841	protein-coding	100505841
LOC100996413	protein-coding	100996413
LOC100996442	protein-coding	100996442
LOC102724159	protein-coding	102724159
LOC100509620	protein-coding	100509620
LOC102724965	protein-coding	102724965
LOC100288966	protein-coding	100288966
LOC101929950	protein-coding	101929950
LOC100652777	protein-coding	100652777
LOC100653049	protein-coding	100653049
LOC100132202	protein-coding	100132202
LOC644090	protein-coding	644090
LOC101928879	protein-coding	101928879
LOC101929627	protein-coding	101929627
LOC645177	protein-coding	645177
LOC100129484	protein-coding	100129484
LOC645188	protein-coding	645188
LOC100129098	protein-coding	100129098
LOC389199	protein-coding	389199
LOC102723996	protein-coding	102723996
LOC100287896	protein-coding	100287896
LOC100129307	protein-coding	100129307
LOC102724334	protein-coding	102724334
LOC102724265	protein-coding	102724265
LOC101929601	protein-coding	101929601
LOC100507221	protein-coding	100507221
LOC100128108	protein-coding	100128108
LOC100996842	protein-coding	100996842
LOC107984876	protein-coding	107984876
LOC400499	protein-coding	400499
LOC100131107	protein-coding	100131107
LOC390877	protein-coding	390877
LOC100286986	protein-coding	100286986
LOC102724197	protein-coding	102724197
LOC150051	protein-coding	150051
NPSA	protein-coding	266811
LOC441239	protein-coding	441239
LOC100287290	protein-coding	100287290
LOC101929773	protein-coding	101929773
LOC102724488	protein-coding	102724488
LOC102723722	protein-coding	102723722
LOC389602	protein-coding	389602
LOC101929141	protein-coding	101929141
LOC100129697	protein-coding	100129697
LOC102724200	protein-coding	102724200
LOC101928589	protein-coding	101928589
LOC102725023	protein-coding	102725023
LOC401040	protein-coding	401040
LOC100506514	protein-coding	100506514
LOC730098	protein-coding	730098
LOC403312	protein-coding	403312
LOC102724788	protein-coding	102724788
