entrez_id	hugo_gene_symbol	type
100507557	LOC100507557	ncRNA
400684	LOC400684	ncRNA
728095	LOC728095	ncRNA
100129046	LOC100129046	ncRNA
100132831	LOC100132831	pseudo
100506801	LOC100506801	ncRNA
101927051	LOC101927051	ncRNA
100129027	LOC100129027	ncRNA
100505921	LOC100505921	ncRNA
101928063	LOC101928063	ncRNA
101927497	LOC101927497	ncRNA
100506804	LOC100506804	ncRNA
148709	LOC148709	pseudo
100507600	LOC100507600	ncRNA
101927666	LOC101927666	ncRNA
100131047	LOC100131047	ncRNA
256880	LOC256880	ncRNA
100505795	LOC100505795	ncRNA
286238	LOC286238	ncRNA
728752	LOC728752	ncRNA
643542	LOC643542	ncRNA
101928597	LOC101928597	ncRNA
100287042	LOC100287042	ncRNA
100507373	LOC100507373	ncRNA
100506125	LOC100506125	ncRNA
644762	LOC644762	pseudo
101927415	LOC101927415	ncRNA
100294362	LOC100294362	ncRNA
100500773	LOC100500773	pseudo
727896	LOC727896	pseudo
100129055	LOC100129055	pseudo
101928404	LOC101928404	ncRNA
100128531	LOC100128531	ncRNA
100130476	LOC100130476	ncRNA
100128568	LOC100128568	ncRNA
399923	FLJ42102	ncRNA
284865	LOC284865	ncRNA
654841	LOC654841	ncRNA
200772	LOC200772	ncRNA
101927021	LOC101927021	ncRNA
101927811	LOC101927811	ncRNA
101927142	LOC101927142	ncRNA
151484	LOC151484	ncRNA
102724691	LOC102724691	ncRNA
399815	LOC399815	pseudo
101927356	LOC101927356	ncRNA
100506384	LOC100506384	ncRNA
100506747	LOC100506747	pseudo
101928303	LOC101928303	ncRNA
392452	LOC392452	pseudo
100288524	WI2-2373I1.2	ncRNA
100506840	IQCF4	pseudo
101928333	LOC101928333	ncRNA
400655	LOC400655	ncRNA
100129083	LOC100129083	protein-coding
729970	LOC729970	ncRNA
101927630	LOC101927630	ncRNA
102723824	LOC102723824	ncRNA
101928445	LOC101928445	ncRNA
100996654	LOC100996654	ncRNA
101927884	LOC101927884	ncRNA
285074	LOC285074	pseudo
100631378	LOC100631378	ncRNA
101928418	LOC101928418	ncRNA
101927795	LOC101927795	ncRNA
100507506	LOC100507506	ncRNA
100507377	LOC100507377	ncRNA
440434	LOC440434	pseudo
100506142	LOC100506142	ncRNA
388955	LOC388955	pseudo
100130264	LOC100130264	ncRNA
100996351	LOC100996351	ncRNA
100128006	LOC100128006	ncRNA
100126784	LOC100126784	ncRNA
101929064	LOC101929064	ncRNA
284395	LOC284395	ncRNA
101928674	LOC101928674	ncRNA
149373	LOC149373	protein-coding
441601	LOC441601	pseudo
101927907	LOC101927907	ncRNA
100505658	LOC100505658	ncRNA
101929570	LOC101929570	ncRNA
100130451	LOC100130451	ncRNA
150776	LOC150776	pseudo
643387	LOC643387	pseudo
100506585	LOC100506585	ncRNA
650293	LOC650293	pseudo
101928020	LOC101928020	ncRNA
641367	LOC641367	pseudo
