old_entrez_id	updated_entrez_id
-2	1029
-1	1029
6063	26860
7795	51072
9142	84631
11217	445815
25787	26220
26148	84458
26222	26220
26844	109616983
28300	28301
28301	28300
28756	100996586
54083	81543
55447	4511
55448	4511
79686	161176
80761	105375355
83935	143872
92973	51754
114299	445815
117153	4253
158696	2258
254299	105370683
257152	105369147
283174	22997
283278	144100
283454	8739
283485	105370361
283737	123624
284083	5414
284702	3192
285299	100288801
285628	107075116
285812	54438
285835	101929072
286052	157378
286063	100287846
286087	105377782
286109	27161
286254	101928483
338620	105376486
338809	440107
340178	105378146
387638	10529
387642	256815
388289	463
389422	221262
399879	29099
401388	7979
401550	105376261
414246	102723377
414766	414761
414767	102724845
414774	105375013
414775	102723346
440330	105371184
441361	107986879
441520	441519
554223	352962
574536	102724668
619343	9228
619431	105379219
641314	85455
642326	102724928
642477	503638
642891	101927174
643210	79813
643763	286183
645262	199882
645840	114112
648044	105372280
653541	26583
653602	151354
677759	439994
728013	644019
728034	101929959
728247	102723626
728955	643479
729800	375940
780789	23254
6775063	4541
6775065	4519
6775066	4540
6775071	4539
6775072	4538
6775073	4514
6775076	4537
6775079	4513
6775083	4512
6775093	4553
6775094	4536
6775098	4535
8923187	4514
8923188	4508
8923197	4538
8923198	4541
8923201	4539
8923202	4513
8923205	4519
8923206	4537
8923209	4535
8923210	4540
8923211	4509
8923212	4536
8923217	4553
8923218	4512
100049076	118126072
100124696	7006
100127889	387707
100128242	57476
100128529	93429
100128651	389197
100130863	100533646
100131096	11322
100131190	4600
100132439	107987001
100132506	107987341
100132731	57501
100133130	728407
100133790	4584
100144878	105378803
100187828	3045
100189486	107985759
100287798	105379268
100287826	105379269
100287859	105379270
100287922	101926917
100289151	105376432
100294341	51326
100419711	730087
100505381	221938
100505567	101929425
100505598	101928790
100505913	105375380
100506003	107987337
100506600	101928794
100506621	151887
100506627	341019
100506671	101928259
100506708	101926903
100506734	105369987
100506906	105377105
100506916	105369296
100507242	79104
100507399	80862
100507660	101927416
100507739	105372481
100861437	83871
100862678	107986136
100873936	105376946
100874046	105377446
100874049	729041
100874132	101927440
100874134	105370208
100874163	107984009
100874174	8803
100874329	105372799
100874368	107984540
100996387	107986730
100996420	101927579
100996634	221262
100996741	103091866
100996761	653513
101059905	118097967
101060179	56981
101180898	105372556
101927016	647264
101928017	391013
101928094	100422558
101928422	285966
101928481	347442
101929304	92017
101929369	79104
101929728	339665
101929747	51752
102031123	57476
102723489	642852
102724187	100134938
102724205	401285
102724349	107985781
102724385	102724354
102724957	105376569
102724991	28227
102724993	642799
103456510	100189486
104326191	51301
104355151	105370731
105369230	3123
105378716	104054213
105379054	100873929
106146148	115694671
106478968	100874024
107984570	8803
107985140	105601840
107986233	100874277
111216281	101928101
387977	102725045
401317	9586
642423	101929479
643923	55531
100128338	642571
100128374	100127955
100130093	116841
100287413	92292
100506136	7979
100507387	202134
100652885	105369219
100874328	105374251
101928189	57035
105376261	158135
643314	23499
286223	1903
9220	399687
109729113	114817
23285	284697
101929665	101929688
112441441	102723854
100874005	105374155
107075233	106050037
111082975	110596867
112552144	112268487
101929759	121233925
123464516	121725057
122152363	122405565
123464507	122526777
