PANEL_SYMBOL	PUBLIC DB	HGNC	Uniprot
C17orf97	x	x	Alias to Q6ZQX7
EEF1A1P29	x	x	
HSP90B3P	x	x	
MIR-142/5P	x		
SBF1P1	x	x	
ST13P13	x	x	
LOC730032			
LOC100132800			
LOC100129218			
MIR99AHG	x	x	
CDKN2B-AS1	x	x	
FGF7P3	x	x	
SELENOKP3	x	x	
LOC220594			
LOC283688			
LOC283914			
LOC285419			
LOC388152			
LINC02232		x	
LOC440300		x	
MIR-1288/1288		x	
SLC6A10P	x	x	
SUPV3l1	x	x	alias of Q8IYB8
LRMP		x	
PYRY8			
H3F3A		x	
HIST1H3B		x	
H3F3C		x	
HIST1H1C		x	
HIST1H1D		x	
HIST1H1E		x	
HIST1H2AC		x	
HIST1H2AG		x	
HIST1H2AL		x	
HIST1H2AM		x	
HIST1H2BD		x	
HIST1H2BJ		x	
HIST1H2BK		x	
HIST1H2BO		x	
ICK		x	
RMRP	x	x	
TMSB4XP8	x	x	
CARS		x	
MTORFrap1			
LOC105379528		x	
IGK	x	x	
TRG	x	x	
FGFR1OP		x	
HIST1H4I		x	
RNF217-AS1	x	x	
WG		x	
TERC	x	x	
H2AFX		x	
LOC402176			
9-Mar		x	
RP6-213H19.1			
TRAJ33	x	x	
TRAJ36	x	x	
TRAJ40	x	x	
TRAJ61	x	x	
TRGJP2	x	x	
TRGV11	x	x	
TRAJ28	x	x	
TRAJ47	x	x	
IGLJ3	x	x	
TRGJP1	x	x	
IGLJ7	x	x	
TRAJ16	x	x	
IGLJ4	x	x	
TRAJ24	x	x	
TRGJP	x	x	
IGLJ2	x	x	
TRAJ9	x	x	
IGLJ5	x	x	
TRAJ2	x	x	
TRGJ2	x	x	
IGLJ6	x	x	
CYP2D8P	x	x	
PPP1R26P2	x	x	
LINC00662	x	x	
LINC00894	x	x	
GOLGA2P4	x	x	
H3F3B		x	
HIST1H3C		x	
HIST1H3A		x	
HIST1H3D		x	
HIST1H3E		x	
HIST1H3F		x	
HIST1H3G		x	
HIST1H3H		x	
HIST1H3I		x	
HIST1H3J		x	
HIST2H3C		x	
HIST2H3D		x	
HIST3H3		x	
HIST1H1B		x	
CDKN2AP14ARF		x	
CDKN2AP16INK4A		x	
LOC649330			
LOC728989		x	
LOC200030			
C1orf61		x	
FLJ23867		x	
C1orf116	x	x	alias to Q9BW04
LOC642587			
ADSS		x	
TP73-AS1	x	x	
LOC100130557			
5-Mar		x	
C11orf65	x	x	alias to Q8NCR3
WDR66		x	
LOC283392			
WASH8P	x	x	
LOC100130386			
LOC220429			
LINC00914	x	x	
C14orf180	x	x	alias to Q8N912
ADAM6	x	x	
ELMSAN1		x	
C14orf184	x	x	
LINC00341		x	
TCL6	x	x	
HERC2P2	x	x	
CASC4		x	
LOC390595			
LOC146336			
ABCC6P1	x	x	
DKFZP434H168		x	
LRRC37BP1	x	x	
LOC90586			
C19orf33	x	x	alias to Q9GZP8
CYP2B7P	x	x	
CD3EAP		x	
2-Mar		x	
CXCR2P1	x	x	
LOC375190			
MYADML	x	x	
FRG1BP	x	x	
FLJ16779		x	
C21orf91	x	x	alias to Q9NYK6
MCM3AP-AS1	x	x	
H1F0		x	
LOC339674			
LOC730668		x	
LOC152217			
C3orf35	x	x	alias to Q8IVJ8
WDFY3-AS2	x	x	
TMED7-TICAM2	x	x	
ANKHD1-EIF4EBP3	x	x	
HARS		x	
LOC134466			
COL4A3BP		x	
LOC644936		x	
Unknown			
HLA-L	x	x	
HLA-DPB2	x	x	
PIP5K1P1	x	x	
TWISTNB		x	
RPS2P32	x	x	
LOC646999		x	
ZNF252P	x	x	
RNF5P1	x	x	
ADAM3A	x	x	
IMPAD1		x	
C9orf91			
LOC389791			
PTENP1	x	x	
C9orf170		x	
IARS		x	
LOC100133957			
C10orf71	x	x	alias to Q711Q0
C11ORF98	x	x	alias to E9PRG8
KIAA1211L		x	
H1FOO		x	
HIST1H4A		x	
HIST2H2AC		x	
HIST2H2BF		x	
LOC643802		x	
4-Mar		x	
TARSL2		x	
MGC16703			
LOC150786			
LOC400891			
LOC375133			
