old_entrez_id	updated_entrez_id	Table_mapping_taken_from
401550	105376261	main_symbol_table
728247	102723626	main_symbol_table
100130863	100533646	main_symbol_table
100124696	7006	main_symbol_table
105379054	100873929	main_symbol_table
100506003	107987337	main_symbol_table
100507660	101927416	main_symbol_table
100874132	101927440	main_symbol_table
100505598	101928790	main_symbol_table
100506671	101928259	main_symbol_table
104355151	105370731	main_symbol_table
441361	107986879	main_symbol_table
100873936	105376946	main_symbol_table
100187828	3045	main_symbol_table
414774	105375013	main_symbol_table
414775	102723346	main_symbol_table
28756	100996586	main_symbol_table
100996387	107986730	main_symbol_table
100506916	105369296	main_symbol_table
100289151	105376432	main_symbol_table
100287922	101926917	main_symbol_table
100874368	107984540	main_symbol_table
642326	102724928	main_symbol_table
414246	102723377	main_symbol_table
100287859	105379270	main_symbol_table
100287826	105379269	main_symbol_table
100287798	105379268	main_symbol_table
100506906	105377105	main_symbol_table
100505567	101929425	main_symbol_table
100996420	101927579	main_symbol_table
574536	102724668	main_symbol_table
100507739	105372481	main_symbol_table
7795	51072	main_symbol_table
100505381	221938	main_symbol_table
100862678	107986136	main_symbol_table
111216281	101928101	main_symbol_table
100506734	105369987	main_symbol_table
100506708	101926903	main_symbol_table
100506600	101928794	main_symbol_table
102723489	642852	main_symbol_table
101180898	105372556	main_symbol_table
100874134	105370208	main_symbol_table
100874163	107984009	main_symbol_table
100874046	105377446	main_symbol_table
414767	102724845	main_symbol_table
254299	105370683	main_symbol_table
677759	439994	main_symbol_table
100505913	105375380	main_symbol_table
399879	29099	Withdrawn Symbol_table
645840	114112	Previous_symbol_table
107984570	8803	Previous_symbol_table
26222	26220	Previous_symbol_table
283174	22997	Previous_symbol_table
643210	79813	Previous_symbol_table
101928017	391013	Previous_symbol_table
83935	143872	Previous_symbol_table
26844	109616983	Previous_symbol_table
641314	85455	Previous_symbol_table
79686	161176	Previous_symbol_table
100419711	730087	Previous_symbol_table
104326191	51301	Previous_symbol_table
25787	26220	Previous_symbol_table
54083	81543	Previous_symbol_table
100874174	8803	Previous_symbol_table
92973	51754	Previous_symbol_table
414766	414761	Previous_symbol_table
9142	84631	Previous_symbol_table
643763	286183	Previous_symbol_table
101929369	79104	Previous_symbol_table
100507242	79104	Previous_symbol_table
441520	441519	Previous_symbol_table
284702	3192	Previous_symbol_table
387642	256815	Previous_symbol_table
100131096	11322	Previous_symbol_table
728955	643479	Previous_symbol_table
100507399	80862	Previous_symbol_table
728013	644019	Previous_symbol_table
100506627	341019	Previous_symbol_table
158696	2258	Previous_symbol_table
619343	9228	Previous_symbol_table
102031123	57476	Previous_symbol_table
642477	503638	Previous_symbol_table
100506621	151887	Previous_symbol_table
286109	27161	Previous_symbol_table
100874049	729041	Previous_symbol_table
100133790	4584	Previous_symbol_table
100189486	107985759	Symbol_unmatched_all_table
106146148	115694671	Symbol_unmatched_all_table
101059905	118097967	Symbol_unmatched_all_table
728034	101929959	Symbol_unmatched_all_table
28301	28300	Symbol_unmatched_all_table
28300	28301	Symbol_unmatched_all_table
100049076	118126072	Symbol_unmatched_all_table
106478968	100874024	Symbol_unmatched_all_table
103456510	100189486	Symbol_unmatched_all_table
554223	352962	protein_coding_table
338809	440107	protein_coding_table
387638	10529	protein_coding_table
100996634	221262	protein_coding_table
284083	5414	protein_coding_table
117153	4253	protein_coding_table, main_symbol_table
100861437	83871	protein_coding_table
100127889	387707	protein_coding_table
388289	463	protein_coding_table
26148	84458	protein_coding_table
401388	7979	protein_coding_table
80761	105375355	protein_coding_table, main_symbol_table
285812	54438	protein_coding_table
100128242	57476	protein_coding_table
101929304	92017	protein_coding_table
6775063	4541	protein_coding_table
101929728	339665	protein_coding_table
619431	105379219	protein_coding_table, main_symbol_table
6775094	4536	protein_coding_table
285299	100288801	protein_coding_table
8923206	4537	protein_coding_table
286052	157378	protein_coding_table
6775079	4513	protein_coding_table
6775072	4538	protein_coding_table
8923212	4536	protein_coding_table
100294341	51326	protein_coding_table
102724993	642799	protein_coding_table
729800	375940	protein_coding_table
6775071	4539	protein_coding_table
100128651	389197	protein_coding_table
285835	101929072	protein_coding_table
780789	23254	protein_coding_table
102724205	401285	protein_coding_table
285628	107075116	protein_coding_table
8923209	4535	protein_coding_table
8923187	4514	protein_coding_table
653541	26583	protein_coding_table
389422	221262	protein_coding_table
6775076	4537	protein_coding_table
100131190	4600	protein_coding_table
642891	101927174	protein_coding_table, main_symbol_table
283454	8739	protein_coding_table
648044	105372280	protein_coding_table
283278	144100	protein_coding_table
6775083	4512	protein_coding_table
8923198	4541	protein_coding_table
100132506	107987341	protein_coding_table, main_symbol_table
101929747	51752	protein_coding_table
8923210	4540	protein_coding_table
283737	123624	protein_coding_table
6775073	4514	protein_coding_table
6775066	4540	protein_coding_table
653602	151354	protein_coding_table
440330	105371184	protein_coding_table
101928422	285966	protein_coding_table
645262	199882	protein_coding_table
