hgnc_id	symbol	locus_group	entrez_id
HGNC:5	A1BG	protein-coding gene	1
HGNC:37133	A1BG-AS1	non-coding RNA	503538
HGNC:24086	A1CF	protein-coding gene	29974
HGNC:7	A2M	protein-coding gene	2
HGNC:27057	A2M-AS1	non-coding RNA	144571
HGNC:23336	A2ML1	protein-coding gene	144568
HGNC:41022	A2ML1-AS1	non-coding RNA	100874108
HGNC:41523	A2ML1-AS2	non-coding RNA	106478979
HGNC:8	A2MP1	pseudogene	3
HGNC:30005	A3GALT2	protein-coding gene	127550
HGNC:18149	A4GALT	protein-coding gene	53947
HGNC:17968	A4GNT	protein-coding gene	51146
HGNC:13666	AAAS	protein-coding gene	8086
HGNC:21298	AACS	protein-coding gene	65985
HGNC:18226	AACSP1	pseudogene	729522
HGNC:17	AADAC	protein-coding gene	13
HGNC:24427	AADACL2	protein-coding gene	344752
HGNC:50301	AADACL2-AS1	non-coding RNA	101928142
HGNC:32037	AADACL3	protein-coding gene	126767
HGNC:32038	AADACL4	protein-coding gene	343066
HGNC:50305	AADACP1	pseudogene	201651
HGNC:17929	AADAT	protein-coding gene	51166
HGNC:25662	AAGAB	protein-coding gene	79719
HGNC:19679	AAK1	protein-coding gene	22848
HGNC:30205	AAMDC	protein-coding gene	28971
HGNC:18	AAMP	protein-coding gene	14
HGNC:19	AANAT	protein-coding gene	15
HGNC:15886	AAR2	protein-coding gene	25980
HGNC:33842	AARD	protein-coding gene	441376
HGNC:20	AARS1	protein-coding gene	16
HGNC:49894	AARS1P1	pseudogene	106480683
HGNC:21022	AARS2	protein-coding gene	57505
HGNC:28417	AARSD1	protein-coding gene	80755
HGNC:54994	AARSD1P1	pseudogene	117981788
HGNC:23993	AASDH	protein-coding gene	132949
HGNC:14235	AASDHPPT	protein-coding gene	60496
HGNC:17366	AASS	protein-coding gene	10157
HGNC:51526	AATBC	non-coding RNA	284837
HGNC:19235	AATF	protein-coding gene	26574
HGNC:21	AATK	protein-coding gene	9625
HGNC:22	AAVS1	other	17
HGNC:49667	ABALON	non-coding RNA	103021294
HGNC:23	ABAT	protein-coding gene	18
HGNC:29	ABCA1	protein-coding gene	19
HGNC:32	ABCA2	protein-coding gene	20
HGNC:33	ABCA3	protein-coding gene	21
HGNC:34	ABCA4	protein-coding gene	24
HGNC:35	ABCA5	protein-coding gene	23461
HGNC:36	ABCA6	protein-coding gene	23460
HGNC:37	ABCA7	protein-coding gene	10347
HGNC:38	ABCA8	protein-coding gene	10351
HGNC:39	ABCA9	protein-coding gene	10350
HGNC:39983	ABCA9-AS1	non-coding RNA	104355297
HGNC:30	ABCA10	protein-coding gene	10349
HGNC:31	ABCA11P	pseudogene	79963
HGNC:14637	ABCA12	protein-coding gene	26154
HGNC:14638	ABCA13	protein-coding gene	154664
HGNC:32972	ABCA17P	pseudogene	650655
HGNC:40	ABCB1	protein-coding gene	5243
HGNC:45	ABCB4	protein-coding gene	5244
HGNC:46	ABCB5	protein-coding gene	340273
HGNC:47	ABCB6	protein-coding gene	10058
HGNC:48	ABCB7	protein-coding gene	22
HGNC:49	ABCB8	protein-coding gene	11194
HGNC:50	ABCB9	protein-coding gene	23457
HGNC:41	ABCB10	protein-coding gene	23456
HGNC:14114	ABCB10P1	pseudogene	56476
HGNC:31129	ABCB10P3	pseudogene	728248
HGNC:31130	ABCB10P4	pseudogene	100132289
HGNC:42	ABCB11	protein-coding gene	8647
HGNC:51	ABCC1	protein-coding gene	4363
HGNC:53	ABCC2	protein-coding gene	1244
HGNC:54	ABCC3	protein-coding gene	8714
HGNC:55	ABCC4	protein-coding gene	10257
HGNC:56	ABCC5	protein-coding gene	10057
HGNC:40055	ABCC5-AS1	non-coding RNA	100873982
HGNC:57	ABCC6	protein-coding gene	368
HGNC:33352	ABCC6P1	pseudogene	653190
HGNC:33353	ABCC6P2	pseudogene	730013
HGNC:59	ABCC8	protein-coding gene	6833
HGNC:60	ABCC9	protein-coding gene	10060
HGNC:52	ABCC10	protein-coding gene	89845
HGNC:14639	ABCC11	protein-coding gene	85320
HGNC:14640	ABCC12	protein-coding gene	94160
HGNC:16022	ABCC13	pseudogene	150000
HGNC:61	ABCD1	protein-coding gene	215
HGNC:62	ABCD1P1	pseudogene	23785
HGNC:63	ABCD1P2	pseudogene	26983
HGNC:64	ABCD1P3	pseudogene	26982
HGNC:65	ABCD1P4	pseudogene	26957
HGNC:42662	ABCD1P5	pseudogene	642762
HGNC:66	ABCD2	protein-coding gene	225
HGNC:67	ABCD3	protein-coding gene	5825
HGNC:68	ABCD4	protein-coding gene	5826
HGNC:69	ABCE1	protein-coding gene	6059
HGNC:70	ABCF1	protein-coding gene	23
HGNC:53628	ABCF1-DT	non-coding RNA	107986587
