study_id	max_tmb	min_tmb	medium_tmb
cfdna_msk_2019	509.8437553	0.978719698	7.070252384
utuc_msk_2019	490.2490395	0	5.808637909
utuc_mskcc_2015	468.0635369	0	6.654931804
glioma_mskcc_2019	448.2536215	0	3.91487879
msk_impact_2017	445.3174624	0	3.91487879
ucec_msk_2018	427.7005079	0	5.545776503
utuc_pdx_msk_2019	404.2112351	0	10.76591667
crc_msk_2017	349.402932	0	6.851037883
rectal_msk_2019	339.6157351	0	5.872318186
mel_mskimpact_2020	238.8076062	0	15.56456571
bcc_unige_2016	235.4242934	0	44
glioma_msk_2018	221.1906517	0	3.91487879
tmb_mskcc_2018	207.4885759	0	5.872318186
cscc_dfarber_2015	164.6676446	6.471654155	33.07734346
cellline_ccle_broad	144.665613	0	4.089096777
mpnst_mskcc	135.3169467	0	53.23945443
blca_msk_tcga_2020	134.2077914	0	5.872318186
prad_mskcc	133.8635379	0	0.033333333
msk_access_2021	128.8400162	0	4.922083419
blca_plasmacytoid_mskcc_2016	128.6620149	0.978719698	7.796922343
brca_metabric	104.6014163	0	6.537588519
hnc_mskcc_2016	100.8081289	0	2.936159093
mds_mskcc_2020	96.86666667	0	2.977572921
lung_msk_2017	96.49651115	0	5.872318186
nsclc_pd1_msk_2018	96.49651115	0.864698095	7.77318498
acc_2019	93.65097043	0	4.518916183
egc_mskcc_2020	88.19920569	0	4.893598488
mixed_cfdna_msk_2020	76.34013641	0	3.91487879
summit_2018	74.38269702	0.978719698	6.752984843
blca_nmibc_2017	73.40397732	0	8.808477279
usarc_msk_2020	73.20424984	0	2.218310601
skcm_vanderbilt_mskcc_2015	66.13933268	1.271910244	12.71910244
luad_mskcc_2020	65.71705522	0	5.18818857
prad_mcspc_mskcc_2020	65.71705522	0	2.594094285
luad_msk_npjpo_2021	65.71705522	0	5.18818857
egc_msk_2017	61.65934095	0	4.893598488
ihch_msk_2021	56.20537617	0	2.594094285
ihch_mskcc_2020	56.20537617	0.864698095	2.594094285
gbm_tcga_pub	53.6983558	0	1.579363406
blca_mskcc_solit_2014	53.43946877	1.161727582	9.293820655
odg_msk_2017	52.85086367	1.957439395	6.263624995
lung_msk_pdx	50.89342428	0	7.829757581
prad_mskcc_2017	49.91198853	0	2.218310601
chol_msk_2018	46.97854549	0	2.936159093
lymphoma_cellline_msk_2020	46.13877027	4.820468536	22.03642759
gbc_msk_2018	43.0636667	0	5.872318186
luad_tsp	32.59721576	0.033333333	2.89753029
rbl_mskcc_2020	28.53503713	0	0.864698095
all_stjude_2015	23.46744981	0	1.676246415
thyroid_mskcc_2016	23.29226131	0	0.166666667
luad_mskimpact_2021	22.48215047	0.864698095	4.323490475
breast_alpelisib_2020	19.57439395	0	4.893598488
coadread_mskcc	18.6114898	3.101914967	9.305744902
prad_cdk12_mskcc_2020	17.74648481	0	2.218310601
escc_ucla_2014	15.43090043	0	2.986625889
breast_msk_2018	14.83333333	0.033333333	0.133333333
urcc_mskcc_2016	12.40765987	0	3.101914967
hcc_msk_venturaa_2018	12.20070831	0	3.327465902
hcc_mskimpact_2018	11.24107523	0	3.91487879
egc_trap_msk_2020	10.37637714	0	4.323490475
prad_msk_2019	9.511679045	0	1.297047142
gct_msk_2020	9.325235299	0.266666667	1.133333333
histiocytosis_cobi_msk_2019	8.808477279	0	0.183333333
mbc_msk_2021	6.91758476	0.864698095	3.45879238
mnm_washu_2016	6.029409738	0.066666667	0.333333333
sarc_mskcc	5.593904881	0	0
scco_mskcc	5.032377056	0	1.887141396
acyc_fmi_2014	No TMBs calculated.		
blca_mskcc_solit_2012	No TMBs calculated.		
nsclc_unito_2016	No TMBs calculated.		
rbl_cfdna_msk_2020	No TMBs calculated.		
