PANEL_SYMBOL	PUBLIC DB	HGNC	Uniprot
EEF1A1P29	x	x	
HSP90B3P	x	x	
MIR-142/5P	x		
SBF1P1	x	x	
ST13P13	x	x	
LOC730032			
LOC100132800			
LOC100129218			
MIR99AHG	x	x	
CDKN2B-AS1	x	x	
FGF7P3	x	x	
SELENOKP3	x	x	
LINC02232		x	
LOC440300		x	
MIR-1288/1288		x	
SLC6A10P	x	x	
LRMP		x	
PYRY8			
H3F3A		x	
HIST1H3B		x	
HIST1H1C		x	
HIST1H1D		x	
HIST1H1E		x	
HIST1H2AC		x	
HIST1H2AG		x	
HIST1H2AL		x	
HIST1H2AM		x	
HIST1H2BD		x	
HIST1H2BJ		x	
HIST1H2BK		x	
HIST1H2BO		x	
ICK		x	
RMRP	x	x	
TMSB4XP8	x	x	
MTORFrap1			
LOC105379528		x	
IGK	x	x	
TRG	x	x	
FGFR1OP		x	
HIST1H4I		x	
RNF217-AS1	x	x	
WG		x	
TERC	x	x	
3/9/20		x	
RP6-213H19.1			
TRAJ33	x	x	
TRAJ36	x	x	
TRAJ40	x	x	
TRAJ61	x	x	
TRGJP2	x	x	
TRGV11	x	x	
TRAJ28	x	x	
TRAJ47	x	x	
IGLJ3	x	x	
TRGJP1	x	x	
IGLJ7	x	x	
TRAJ16	x	x	
IGLJ4	x	x	
TRAJ24	x	x	
TRGJP	x	x	
IGLJ2	x	x	
TRAJ9	x	x	
IGLJ5	x	x	
TRAJ2	x	x	
TRGJ2	x	x	
IGLJ6	x	x	
CYP2D8P	x	x	
PPP1R26P2	x	x	
LINC00662	x	x	
LINC00894	x	x	
GOLGA2P4	x	x	
H3F3B		x	
HIST1H3C		x	
HIST1H3A		x	
HIST1H3D		x	
HIST1H3E		x	
HIST1H3F		x	
HIST1H3G		x	
HIST1H3H		x	
HIST1H3I		x	
HIST1H3J		x	
HIST2H3C		x	
HIST3H3		x	
HIST1H1B		x	
CDKN2AP14ARF		x	
CDKN2AP16INK4A		x	
LOC728989		x	
C1orf61		x	
FLJ23867		x	
TP73-AS1	x	x	
3/5/20		x	
WASH8P	x	x	
LINC00914	x	x	
C14orf180	x	x	alias to Q8N912
ADAM6	x	x	
ELMSAN1		x	
C14orf184	x	x	
LINC00341		x	
TCL6	x	x	
HERC2P2	x	x	
ABCC6P1	x	x	
DKFZP434H168		x	
LRRC37BP1	x	x	
CYP2B7P	x	x	
CD3EAP		x	
3/2/20		x	
CXCR2P1	x	x	
MYADML	x	x	
FRG1BP	x	x	
FLJ16779		x	
C21orf91	x	x	alias to Q9NYK6
MCM3AP-AS1	x	x	
H1F0		x	
WDFY3-AS2	x	x	
TMED7-TICAM2	x	x	
ANKHD1-EIF4EBP3	x	x	
HARS		x	
COL4A3BP		x	
LOC644936		x	
Unknown			
HLA-L	x	x	
HLA-DPB2	x	x	
PIP5K1P1	x	x	
RPS2P32	x	x	
LOC646999		x	
ZNF252P	x	x	
RNF5P1	x	x	
ADAM3A	x	x	
IMPAD1		x	
PTENP1	x	x	
C11ORF98	x	x	alias to E9PRG8
KIAA1211L		x	
H1FOO		x	
HIST1H4A		x	
HIST2H2AC		x	
LOC643802		x	
3/4/20		x	
MGC16703			
AGAP2-AS1	x		
MBNL1-AS1	x		
LINC01000	x		
USP32P2	x	x	
LINC00927	x	x	
LINC01566	x	x	
LINC01091	x	x	
GOLGA2P7	x	x	
RPL21P44	x	x	
MIR205HG	x	x	
NFYC-AS1	x	x	
TRHDE-AS1	x	x	
LINC00552	x	x	
CTAGE10P	x	x	
SSTR5-AS1	x	x	
LINC00634	x	x	
ZNF300P1	x	x	
PTGES2-AS1	x	x	
UXT-AS1	x	x	
AOC4P			
LOC730668			
