Entry	Gene names	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Date of last modification	Version (entry)
Q9H553	ALG2 UNQ666/PRO1298	416		UNQ666/PRO1298	ALG2		8/12/20	165
Q96QF7	GCNA ACRC	691			GCNA	ACRC	8/12/20	119
Q13023	AKAP6 AKAP100 KIAA0311	2319			AKAP6	AKAP100 KIAA0311	8/12/20	171
Q8WTP8	AEN ISG20L1 SBBI58	325		SBBI58	AEN	ISG20L1	8/12/20	151
Q7Z7M1	ADGRD2 GPR144 PGR24	963			ADGRD2	GPR144 PGR24	8/12/20	133
Q9NP61	ARFGAP3 ARFGAP1	516			ARFGAP3	ARFGAP1	8/12/20	184
P36404	ARL2	184			ARL2		8/12/20	191
Q6NSI1	ANKRD26P1	321			ANKRD26P1		8/12/20	108
Q9NQ90	ANO2 C12orf3 TMEM16B	1003			ANO2	C12orf3 TMEM16B	8/12/20	145
Q99873	PRMT1 HMT2 HRMT1L2 IR1B4	371			PRMT1	HMT2 HRMT1L2 IR1B4	8/12/20	185
Q9H765	ASB8 PP14212	288		PP14212	ASB8		8/12/20	161
P48047	ATP5PO ATP5O ATPO	213			ATP5PO	ATP5O ATPO	8/12/20	201
O60566	BUB1B BUBR1 MAD3L SSK1	1050			BUB1B	BUBR1 MAD3L SSK1	8/12/20	206
P02746	C1QB	253			C1QB		8/12/20	212
Q8ND61	C3orf20	904			C3orf20		8/12/20	129
Q8N5C1	CALHM5 C6orf188 FAM26E	309			CALHM5	C6orf188 FAM26E	8/12/20	125
Q6ZP82	CCDC141 CAMDI	1450			CCDC141	CAMDI	8/12/20	145
B7Z1M9	C2CD4D FAM148D	353			C2CD4D	FAM148D	8/12/20	73
Q9BXI9	C1QTNF6 CTRP6 UNQ581/PRO1151	278		UNQ581/PRO1151	C1QTNF6	CTRP6	8/12/20	168
Q5VZK9	CARMIL1 CARMIL LRRC16 LRRC16A	1371			CARMIL1	CARMIL LRRC16 LRRC16A	8/12/20	149
Q5JW98	CALHM4 C6orf78 FAM26D UNQ6481/PRO21277	314		UNQ6481/PRO21277	CALHM4	C6orf78 FAM26D	8/12/20	128
Q6ZUS6	CCDC149	474			CCDC149		8/12/20	105
P53634	CTSC CPPI	463			CTSC	CPPI	8/12/20	207
P00746	CFD DF PFD	253			CFD	DF PFD	8/12/20	210
P30260	CDC27 ANAPC3 D0S1430E D17S978E	824			CDC27	ANAPC3 D0S1430E D17S978E	8/12/20	212
Q86V15	CASZ1 CST SRG ZNF693	1759			CASZ1	CST SRG ZNF693	8/12/20	148
Q9HD42	CHMP1A CHMP1 KIAA0047 PCOLN3 PRSM1	196			CHMP1A	CHMP1 KIAA0047 PCOLN3 PRSM1	8/12/20	161
P49454	CENPF	3114			CENPF		8/12/20	202
Q7L2Z9	CENPQ C6orf139	268			CENPQ	C6orf139	8/12/20	135
P47902	CDX1	265			CDX1		8/12/20	178
Q9Y4M8	LINC00588 C8orf71	146			LINC00588	C8orf71	8/12/20	78
P40259	CD79B B29 IGB	229			CD79B	B29 IGB	8/12/20	189
Q96CF2	CHMP4C SHAX3	233			CHMP4C	SHAX3	8/12/20	155
Q9BWV3	CDADC1	514			CDADC1		8/12/20	139
A8MXV6	CDRT15L2	281			CDRT15L2		8/12/20	76
Q07002	CDK18 PCTAIRE3 PCTK3	474			CDK18	PCTAIRE3 PCTK3	8/12/20	201
Q5T280	SPOUT1 C9orf114	376			SPOUT1	C9orf114	8/12/20	121
Q96M91	CFAP53 CCDC11	514			CFAP53	CCDC11	8/12/20	132
P28907	CD38	300			CD38		8/12/20	204
Q96G28	CFAP36 CCDC104 UNQ163/PRO189	342		UNQ163/PRO189	CFAP36	CCDC104	8/12/20	127
Q9NRB3	CHST12 UNQ500/PRO1017	414		UNQ500/PRO1017	CHST12		8/12/20	146
P29016	CD1B	333			CD1B		8/12/20	186
Q8N0X4	CLYBL CLB	340			CLYBL	CLB	8/12/20	145
Q96B33	CLDN23	292			CLDN23		8/12/20	136
O75128	COBL KIAA0633	1261			COBL	KIAA0633	8/12/20	140
Q9UIV1	CNOT7 CAF1	285			CNOT7	CAF1	8/12/20	180
P02748	C9	559			C9		8/12/20	206
Q32Q52	C12orf74	190			C12orf74		8/12/20	95
A6NJI1	C11orf86	115			C11orf86		8/12/20	77
O14493	CLDN4 CPER CPETR1 WBSCR8	209			CLDN4	CPER CPETR1 WBSCR8	8/12/20	169
Q96AJ1	CLUAP1 KIAA0643	413			CLUAP1	KIAA0643	8/12/20	141
P49759	CLK1 CLK	484			CLK1	CLK	8/12/20	193
O00299	CLIC1 G6 NCC27	241			CLIC1	G6 NCC27	8/12/20	217
Q8WWK9	CKAP2 LB1 TMAP	683			CKAP2	LB1 TMAP	8/12/20	146
Q9UGL9	CRCT1 C1orf42 NICE1	99			CRCT1	C1orf42 NICE1	8/12/20	118
Q7Z4B0	LINC00305 C18orf20 NCRNA00305	112			LINC00305	C18orf20 NCRNA00305	8/12/20	79
Q9Y534	CSDC2 PIPPIN	153			CSDC2	PIPPIN	8/12/20	144
Q8WXD9	CASKIN1 KIAA1306	1431			CASKIN1	KIAA1306	8/12/20	147
Q9P1W3	TMEM63C C14orf171 CSC1	806			TMEM63C	C14orf171 CSC1	8/12/20	112
P35606	COPB2	906			COPB2		8/12/20	203
Q16526	CRY1 PHLL1	586			CRY1	PHLL1	8/12/20	162
P11509	CYP2A6 CYP2A3	494			CYP2A6	CYP2A3	8/12/20	222
Q96L46	CAPNS2	248			CAPNS2		8/12/20	140
Q86Y56	DNAAF5 HEATR2	855			DNAAF5	HEATR2	8/12/20	161
P01189	POMC	267			POMC		8/12/20	211
P09228	CST2	141			CST2		8/12/20	174
Q8WWM9	CYGB STAP	190			CYGB	STAP	8/12/20	157
Q9Y5B0	CTDP1 FCP1	961			CTDP1	FCP1	8/12/20	192
P00167	CYB5A CYB5	134			CYB5A	CYB5	8/12/20	211
Q5DJT8	CT45A2 CT45-2	189			CT45A2	CT45-2	8/12/20	112
Q8TF08	COX7B2	81			COX7B2		8/12/20	124
Q08495	DMTN DMT EPB49	405			DMTN	DMT EPB49	8/12/20	201
Q9UJV9	DDX41 ABS	622			DDX41	ABS	8/12/20	204
Q9BQY9	DBNDD2 C20orf35	259			DBNDD2	C20orf35	8/12/20	156
Q92841	DDX17	729			DDX17		8/12/20	212
Q6P3S1	DENND1B C1orf218 FAM31B	775			DENND1B	C1orf218 FAM31B	8/12/20	138
Q9UHL0	DDX25 GRTH	483			DDX25	GRTH	8/12/20	172
Q05048	CSTF1	431			CSTF1		8/12/20	198
Q8IXT1	DDIAS C11orf82 NOXIN	998			DDIAS	C11orf82 NOXIN	8/12/20	126
P05141	SLC25A5 ANT2	298			SLC25A5	ANT2	8/12/20	226
P51816	AFF2 FMR2 OX19	1311			AFF2	FMR2 OX19	8/12/20	161
Q9NP73	ALG13 CXorf45 GLT28D1 MDS031	1137		MDS031	ALG13	CXorf45 GLT28D1	8/12/20	159
P35318	ADM AM	185			ADM	AM	8/12/20	183
Q8N556	AFAP1 AFAP	730			AFAP1	AFAP	8/12/20	139
Q9UKQ2	ADAM28 ADAM23 MDCL	775			ADAM28	ADAM23 MDCL	8/12/20	182
Q08462	ADCY2 KIAA1060	1091			ADCY2	KIAA1060	8/12/20	186
P33121	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	698			ACSL1	FACL1 FACL2 LACS LACS1 LACS2	8/12/20	192
Q6UXC1	MAMDC4 AEGP UNQ3001/PRO9742	1216		UNQ3001/PRO9742	MAMDC4	AEGP	8/12/20	123
Q9Y672	ALG6 My046	507		My046	ALG6		8/12/20	174
O75078	ADAM11 MDC	769			ADAM11	MDC	8/12/20	176
P61204	ARF3	181			ARF3		8/12/20	154
