enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
ENST00000377930	ENSP00000367163	221	P86481	PRR20B
ENST00000377931	ENSP00000367164	221	P86496	PRR20A
ENST00000434815	ENSP00000404281	221	P86478	PRR20E
ENST00000452123	ENSP00000392407	221	P86480	PRR20D
ENST00000544357	ENSP00000438757	221	P86479	PRR20C
ENST00000553702	ENSP00000451545	424	P0CJ85	DUX4L2
ENST00000553722	ENSP00000451087	424	P0CJ89	DUX4L6
ENST00000553820	ENSP00000451411	424	P0CJ90	DUX4L7
ENST00000557283	ENSP00000451107	424	P0CJ88	DUX4L5
ENST00000557656	ENSP00000451859	424	P0CJ86	DUX4L3
ENST00000415752	ENSP00000391465	117	P0CL82	GAGE12I
ENST00000440137	ENSP00000404123	117	P0CL80	GAGE12F
ENST00000445148	ENSP00000416249	117	P0CL81	GAGE12G
ENST00000272298	ENSP00000272298	149	P0DP24	CALM2
ENST00000291295	ENSP00000291295	149	P0DP25	CALM3
ENST00000342763	ENSP00000341481	89	B3EWG5	FAM25C
ENST00000343959	ENSP00000342790	89	B3EWG3	FAM25A
ENST00000356978	ENSP00000349467	149	P0DP23	CALM1
ENST00000369929	ENSP00000358945	364	P04001	OPN1MW
ENST00000452267	ENSP00000413896	89	B3EWG6	FAM25G
ENST00000604569	ENSP00000475060	189	P0DMV2	CT45A9
ENST00000289373	ENSP00000289373	45	P0CG34	TMSB15A
ENST00000291552	ENSP00000291552	240	Q01081	U2AF1
ENST00000291554	ENSP00000291554	173	P02489	CRYAA
ENST00000313835	ENSP00000319673	455	B7ZAQ6	GPR89A
ENST00000314163	ENSP00000358233	455	P0CG08	GPR89B
ENST00000316731	ENSP00000314544	482	P86790	CCZ1B
ENST00000321253	ENSP00000326042	450	P0DPH8	TUBA3D
ENST00000325974	ENSP00000325681	482	P86791	CCZ1
ENST00000338844	ENSP00000343577	275	Q15661	TPSAB1
ENST00000338971	ENSP00000343645	295	P0DMM9	SULT1A3
ENST00000340457	ENSP00000342938	263	B0FP48	UPK3BL1
ENST00000352178	ENSP00000344460	551	P35520	CBS
ENST00000358231	ENSP00000350966	140	P0DI81	TRAPPC2
