entrez_id	symbol	chromosome	cytoband	type	ensembl_gene_id
102724594	U2AF1L5	21	21p12	protein-coding	
102724652	CRYAA2	21	21p12	protein-coding	
102724023	GATD3B	21	21p12	protein-coding	
102723475	KCNE1B	21	21p11.2	protein-coding	
102724560	CBSL	21	21p12	protein-coding	
102724428	SIK1B	21	21p12	protein-coding	
102723451	FAM243B	21	21p11.2	protein-coding	
107983987	SMIM34B	21	21p11.2	protein-coding	
102723553	SMIM11B	21	21p11.2	protein-coding	
100132071	LOC100132071	-	-	protein-coding	
100130857	LOC100130857	-	-	protein-coding	
100130175	LOC100130175	-	-	protein-coding	
100128571	LOC100128571	-	-	protein-coding	
729220	FLJ45513	17	17q21.33	protein-coding	
102724200	LOC102724200	21	21p12	protein-coding	
100130078	LOC100130078	-	-	protein-coding	
100129974	LOC100129974	-	-	protein-coding	
100132069	LOC100132069	-	-	protein-coding	
10896	OCLM	-	-	protein-coding	
102724965	LOC102724965	2	2p21	protein-coding	
100129275	LOC100129275	-	-	protein-coding	
101060596	LOC101060596	-	-	protein-coding	
100128402	LOC100128402	-	-	protein-coding	
100131821	LOC100131821	-	-	protein-coding	
100287290	LOC100287290	3	3q25.32	protein-coding	
100287294	LOC100287294	-	-	protein-coding	
266918	D21S2090E	-	-	protein-coding	
100132495	LOC100132495	-	-	protein-coding	
100996629	LINC00849	-	-	ncRNA	
388282	LOC388282	16	16q21	protein-coding	ENSG00000187185
399832	DKFZP686M1136	-	-	protein-coding	
100131101	LOC100131101	-	-	protein-coding	
100129380	LOC100129380	-	-	protein-coding	
649201	LOC649201	-	-	protein-coding	
645587	LINC00614	10	10p12.1	ncRNA	
400499	LOC400499	16	16p13.13	protein-coding	ENSG00000188897
100131581	LOC100131581	-	-	protein-coding	
729722	LOC729722	-	-	protein-coding	
727961	LOC727961	-	-	protein-coding	
100287036	LOC100287036	16	16q24.3	protein-coding	
100129125	LOC100129125	-	-	protein-coding	
100130778	LOC100130778	-	-	protein-coding	
100129126	LOC100129126	-	-	protein-coding	
728100	LOC728100	-	-	protein-coding	
100653049	LOC100653049	17	-	protein-coding	
100131034	LOC100131034	-	-	protein-coding	
100131032	LOC100131032	-	-	protein-coding	
102723503	LOC102723503	-	-	protein-coding	
107985535	LOC107985535	22	22q13.31	protein-coding	
652764	HPX-2	-	-	protein-coding	
283745	LOC283745	-	-	protein-coding	
10638	SPHAR	-	-	protein-coding	
286121	LOC286121	-	-	protein-coding	
101059935	LOC101059935	-	-	protein-coding	
100288675	LOC100288675	-	-	protein-coding	
100873364	RNA5SP32	-	-	pseudogene	
646014	LOC646014	-	-	protein-coding	
100533997	MAGEA10-MAGEA5	X	Xq28	protein-coding	
246318	FLJ13773	-	-	protein-coding	
692224	FBXO22-AS1	-	-	ncRNA	
401052	LOC401052	-	-	protein-coding	
100129721	LOC100129721	-	-	protein-coding	
3519	IGKV@	2	2p12	other	
574037	C1ORF134	-	-	protein-coding	
266621	DGCR7	-	-	ncRNA	
100131860	LOC100131860	-	-	protein-coding	
101929812	LOC101929812	-	-	protein-coding	
100131864	LOC100131864	-	-	protein-coding	
101929950	LOC101929950	17	17q12	protein-coding	
100131719	LOC100131719	-	-	protein-coding	
286058	LOC286058	-	-	protein-coding	
100134240	LOC100134240	-	-	protein-coding	
388813	LOC388813	21	21q11.2	protein-coding	
100130817	LOC100130817	-	-	protein-coding	
100507221	LOC100507221	16	16p11.2	protein-coding	
283475	LOC283475	-	-	protein-coding	
100132197	LOC100132197	-	-	protein-coding	
100286986	LOC100286986	18	18p11.31	protein-coding	
102724788	LOC102724788	22	-	protein-coding	ENSG00000277196
286272	LOC286272	-	-	protein-coding	
103344718	HOTS	-	-	protein-coding	
402269	LOC402269	-	-	protein-coding	
101927655	ZASP	7	7q22.1	protein-coding	
100129697	LOC100129697	16	16q24.3	protein-coding	
283270	LOC283270	-	-	protein-coding	
284898	LOC284898	22	22q12.1	protein-coding	
100128184	LOC100128184	-	-	protein-coding	
100996750	LOC100996750	17	-	protein-coding	
100132365	LOC100132365	-	-	protein-coding	
100130560	LOC100130560	-	-	protein-coding	
100132363	LOC100132363	-	-	protein-coding	
100130761	LOC100130761	-	-	protein-coding	
100506667	LOC100506667	-	-	protein-coding	
645263	LOC645263	-	-	protein-coding	
26069	DKFZP586B0319	-	-	protein-coding	
100506217	LOC100506217	-	-	protein-coding	
26105	DKFZP434C153	-	-	protein-coding	
26106	DKFZP586K1520	-	-	protein-coding	
1574	CYP3A	-	-	other	
100129763	LOC100129763	-	-	protein-coding	
50951	MMVP1	16	16p12.1-p11.2	unknown	
100996721	LOC100996721	-	-	protein-coding	
102725138	LOC102725138	-	-	protein-coding	
730098	LOC730098	9	9p13.3	protein-coding	ENSG00000187186
647264	LOC647264	13	13q21.31	protein-coding	ENSG00000285566
283911	LOC283911	-	-	protein-coding	
441239	LOC441239	7	7q11.21	protein-coding	
